Experiment key,run_name,model,Server start time,Duration,data_set,best_model_score_0,best_model_score_1,best_model_score_2,best_model_score_3,best_model_score_4,avg_saved_prototypes,table_entry,val_acc_0,val_acc_1,val_acc_2,val_acc_3,val_acc_4,lr,Batch size,pc_prototypes_init,pc_number_of_prototypes,pc_sim_func,pc_project_prototypes_every_n,pc_cls_loss_weight,pc_sep_loss_weight,pc_separation_threshold,pc_conv_filters,Current epoch,seed,avg_best_scores,std_best_scores
29315291aff74d6ca68befdc2529712b,repeat_2_prot_bench,protoconv,1623729007597,3498,yelp,0.59916,0.57349,0.60683,0.60066,0.50008,2,0.576 ($\pm$0.040),0.577,0.55633,0.5705,0.56033,0.50008,0.001,32,rand,2,log,1,0.005,0.005,1,64,20,0,0.57604,0.03966
8c7da7810c25411e9a2de0c66c098e1f,repeat_64_prot_bench,protoconv,1623728872888,954,rottentomatoes,0.736,0.73233,0.74666,0.72816,0.75545,64,0.740 ($\pm$0.010),0.73549,0.72883,0.7325,0.72399,0.74645,0.001,32,rand,64,log,1,0.005,0.005,1,64,13,0,0.73972,0.00997
b00cbb4825be46c09d2a31880c989798,repeat_4_prot_bench,protoconv,1623728278229,2752,amazon,0.52816,0.86533,0.87566,0.87749,0.87483,4,0.804 ($\pm$0.138),0.51983,0.86333,0.869,0.874,0.87333,0.001,32,rand,4,log,1,0.005,0.005,1,64,22,0,0.80429,0.13813
35e62f0ea3464ca8913ff7af13e26f81,repeat_16_prot_bench,protoconv,1623727711197,2876,yelp,0.83283,0.8395,0.83233,0.83883,0.8323,16,0.835 ($\pm$0.003),0.82166,0.8345,0.82833,0.83616,0.83163,0.001,32,rand,16,log,1,0.005,0.005,1,64,15,0,0.83516,0.00328
3a290f7410534e1f83c0b0197c352ee6,repeat_64_prot_bench,protoconv,1623726938790,1932,yelp,0.83766,0.842,0.84116,0.84633,0.83663,64,0.841 ($\pm$0.003),0.83733,0.83983,0.83733,0.82983,0.83113,0.001,32,rand,64,log,1,0.005,0.005,1,64,15,0,0.84076,0.00344
729e3e4b932447eea52bc3165dba5d4c,repeat_2_prot_bench,protoconv,1623726932420,2073,amazon,0.85549,0.60933,0.52733,0.53533,0.5,2,0.605 ($\pm$0.130),0.8525,0.57133,0.52216,0.52133,0.5,0.001,32,rand,2,log,1,0.005,0.005,1,64,12,0,0.60549,0.13013
64c01393d4874a029e684740d4501a99,repeat_16_prot_bench,protoconv,1623725969820,1739,amazon,0.88616,0.87333,0.88416,0.88516,0.8765,16,0.881 ($\pm$0.005),0.87966,0.86433,0.87833,0.88516,0.87449,0.001,32,rand,16,log,1,0.005,0.005,1,64,20,0,0.88106,0.00515
9e13cbe591ff4d018073ea36f3b3eec8,repeat_64_prot_bench,protoconv,1623725590767,1346,amazon,0.88433,0.87666,0.87933,0.8895,0.87633,64,0.881 ($\pm$0.005),0.87849,0.87433,0.87116,0.88316,0.87316,0.001,32,rand,64,log,1,0.005,0.005,1,64,13,0,0.88123,0.00502
1c89bcec1af4448caf6309ad95580698,repeat_64_prot_bench,protoconv,1623723371127,2217,imdb,0.8628,0.84939,0.85519,0.8628,0.85939,64,0.858 ($\pm$0.005),0.86,0.84799,0.8546,0.85399,0.85939,0.001,32,rand,64,log,1,0.005,0.005,1,64,17,0,0.85791,0.00509
1ad4ad2989c5422bbe157f36e5ce4dbd,repeat_16_prot_bench,protoconv,1623723327237,2640,imdb,0.8524,0.80779,0.85659,0.8626,0.758,16,0.827 ($\pm$0.040),0.8514,0.8022,0.85519,0.86059,0.72979,0.001,32,rand,16,log,1,0.005,0.005,1,64,13,0,0.82748,0.03979
a1390014cf2d484bb0b4a88d42288721,repeat_4_prot_bench,protoconv,1623722682286,5593,imdb,0.84039,0.6344,0.84039,0.85,0.7928,4,0.792 ($\pm$0.081),0.8356,0.632,0.83819,0.84839,0.78939,0.001,32,rand,4,log,1,0.005,0.005,1,64,29,0,0.7916,0.0811
a00b516c833a4614ab2ce0469e8ae651,repeat_2_prot_bench,protoconv,1623722341225,4588,imdb,0.71359,0.6208,0.5,0.8378,0.73339,2,0.681 ($\pm$0.114),0.7012,0.6118,0.5,0.82859,0.72659,0.001,32,rand,2,log,1,0.005,0.005,1,64,15,0,0.68112,0.11382
